SYMBOL,SECURITY,HI_52_WK,LO_52_WK
DISHMAN,DISHMAN PHARMA & CHEM LTD,419.8,127.95
DISHTV,DISH TV INDIA LTD.,111.9,65.2
DLINKINDIA,D-LINK INDIA LTD,195,74.4
DOLPHINOFF,DOLPHIN OFF. ENT IND LTD.,139.4,66.6
DONEAR,DONEAR IND. LIMITED,70.8,12.25
DPL,DHUNSERI PETROCHEM LTD,104.65,66.2
DPSCLTD,DPSC LIMITED,41.05,10.1
DQE,DQ ENTERTAINMENT INT LTD,47.6,17.95
DREDGECORP,DREDGING CORP OF INDIA,466,290
DSKULKARNI,D S KULKARNI DEVELOPERS L,124.8,64.3
DSSL,DYNACONS SYS & SOLN LTD,21.15,9.05
DTIL,DHUNSERI TEA & IND. LTD.,354.9,210.35
DUCON,DUCON INFRATECHNOLOGIES L,62.15,12.6
DWARKESH,DWARIKESH SUGAR IND LTD,379.4,53
DYNAMATECH,DYNAMATIC TECHNOLOGIES,3389,1450
EASTSILK,EASTERN SILK INDUSTRIES L,4,1.8
EASUNREYRL,EASUN REYROLLE LTD,58.9,27.55
ECEIND,ECE INDUSTRIES LTD.,376.9,125.05
ECLERX,ECLERX SERVICES LTD,1989,1105.3
EDELWEISS,EDELWEISS FIN SERV LTD,128.8,44.35
EDL,EMPEE DISTI. LTD.,115.45,42.15
EDUCOMP,EDUCOMP SOLUTIONS LTD,18.3,10.1
EIDPARRY,EID PARRY INDIA LTD,278.35,147.8
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,379,201
EIHOTEL,EIH LIMITED,137.5,100.1
EKC,EVEREST KANTO CYLINDERLTD,41.3,8
ELAND,E-LAND APPAREL LIMITED,62.8,21.8
ELECON,ELECON ENG. CO. LTD,92.85,42.55
ELECTCAST,ELECTROSTEEL CASTINGS LTD,28.95,16.8
ELECTHERM,ELECTROTHERM (I) LTD.,197,32.1
ELGIEQUIP,ELGI EQUIPMENTS LTD,204,118.2
ELGIRUBCO,ELGI RUBBER CO. LTD,47.45,23.6
EMAMIINFRA,EMAMI INFRASTRUCTURE LTD,90.4,30.1
EMCO,EMCO LIMITED,37.35,21.7
EMKAY,EMKAY GLOBAL FIN SERV LTD,88.5,46
EMMBI,EMMBI INDUSTRIES LIMITED,137,44.6
ENDURANCE,ENDURANCE TECHNO. LTD.,674.5,572
ENERGYDEV,ENERGY DEVE. CO.LTD,245.85,31.3
ENGINERSIN,ENGINEERS INDIA LTD,276.15,143.1
ENIL,ENTERTAIN NET. IND. LTD.,905,587
EON,EON ELECTRIC LIMITED,91.8,35
EQUITAS,EQUITAS HOLDINGS LIMITED,206.25,134.3
EROSMEDIA,EROS INTL MEDIA LTD,473,125.75
ESABINDIA,ESAB INDIA LTD,688.95,438.05
ESCORTS,ESCORTS INDIA LTD,414.4,112.8
ESL,ELECTROSTEEL STEELS LTD,4.5,2.45
ESSARSHPNG,ESSAR SHIPPING LTD,38.1,19.5
ESSELPACK,ESSEL PROPACK LTD,250,132
ESTER,ESTER INDUSTRIES LTD,108.15,33.75
EUROCERA,EURO CERAMICS LTD,10.1,2.3
EUROTEXIND,EUROTEX INDUSTRIES LTD,41.3,21
EVEREADY,EVEREADY INDS. IND.  LTD.,318.5,192.25
EVERESTIND,EVEREST INDUSTRIES LTD,364.7,192.05
EVERONN,EVERONN EDUCATION LIMITED,36.3,17
EXCEL,EXCEL REALTY N INFRA LTD,55.7,23.5
EXCELCROP,EXCEL CROP CARE LTD,1760.05,782.4
EXCELINDUS,EXCEL INDUSTRIES LTD,466.7,138.7
EXIDEIND,EXIDE INDUSTRIES LTD,205,116
FACT,FACT LTD,28.7,18.6
FAGBEARING,FAG BEARINGS INDIA LTD,4425,3700
FARMAXIND,FARMAX INDIA LTD,0.35,0.05
FCEL,FUTURE CONSUMER ENT LTD,27.25,16.55
FCL,FINEOTEX CHEMICAL LIMITED,38,20.25
FCSSOFT,FCS SOFTWARE SOLN. LTD.,0.6,0.25
FDC,FDC LIMITED,269.4,165
FEDDERLOYD,FEDDERS LLOYDS CORPORATIO,109.2,58.15
FEDERALBNK,FEDERAL BANK LTD,76.65,41.35
FEL,FUTURE ENTERPRISES LTD,172.95,15.45
FELDVR,FUTURE ENTERPRISES LTD,144.2,12.45
FIEMIND,FIEM INDUSTRIES LIMITED,1510,581.55
FILATEX,FILATEX INDIA LTD,87.7,32.75
FINANTECH,FINANCIAL TECHNO (I) LTD,134.35,70.65
FINCABLES,FINOLEX CABLES LTD,458.95,202.2
FINPIPE,FINOLEX INDUSTRIES LTD,497.5,260.4
FIRSTWIN,FIRST WIN IND. LTD.,3.35,2.05
FLEXITUFF,FLEXITUFF INTER LIMITED,248,153.1
FLFL,FUT LIFESTYLE FASH LTD,142.4,66.7
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,594,273.6
FMNL,FUTURE MKT NETWORKS LTD,41.7,17.25
FORTIS,FORTIS HEALTHCARE LTD,198.9,141
FOSECOIND,FOSECO INDIA LTD,1580,1065.1
FRETAIL,FUTURE RETAIL LIMITED,161.05,137.2
FSL,FIRSTSOURCE SOLU. LTD.,53.65,28.65
GABRIEL,GABRIEL INDIA LTD,126.4,75
GAEL,GUJARAT AMBUJA EXPORTS LT,97.1,35.25
GAL,GYSCOAL ALLOYS LTD,124.8,10.3
GALLANTT,GALLANTT METAL LIMITED,53.4,22.4
GALLISPAT,GALLANTT ISPAT LTD,663,342.55
GAMMNINFRA,GAMMON INFRA PROJ LTD.,8.1,3.8
GAMMONIND,GAMMON INDIA LTD,21.5,10.3
GANDHITUBE,GANDHI SPL. TUBES LTD,351.85,197.5
GANECOS,GANESHA ECOSPHERE LIMITED,236.85,106.65
GANESHHOUC,GANESH HOUSING CORP LTD,143.45,70.1
GANGOTRI,GANGOTRI TEXTILES LTD.,1.95,0.8
GARDENSILK,GARDEN SILK MILLS LTD,41.35,20.8
GARWALLROP,GARWARE-WALL ROPES LTD,568.9,271.2
GATI,GATI LIMITED,189.35,94.5
GAYAPROJ,GAYATRI PROJECTS LTD,769,490.2
GDL,GATEWAY DISTRIPARKS LTD.,360,205.8
GEECEE,GEECEE VENTURES LIMITED,219.7,79.15
GEMINI,GEMINI COMM. LTD,5.6,1.05
GENESYS,GENESYS INTL CORPN LTD,109,40.55
GENUSPAPER,GENUS P&B LIMITED,7.55,3.2
GENUSPOWER,GENUS POWER INFRASTRU LTD,62.45,32
GEOJITBNPP,GEOJIT BNP P. FIN SER LTD,44.9,28.05
GEOMETRIC,GEOMETRIC LIMITED,251,131
GEPIL,GE POWER INDIA LIMITED,703.2,495.05
GESHIP,THE GE SHPG.LTD,421,274.65
GET&D,GE T&D INDIA LIMITED,543.95,313.1
GHCL,GHCL LIMITED,299,95.35
GICHSGFIN,GIC HOUSING FINANCE LTD,354.4,181
GILLANDERS,GILLANDERS ARBUTHNOT LTD,80.7,48.9
GILLETTE,GILLETTE INDIA LTD,5037.5,3805.35
GINNIFILA,GINNI FILAMENTS LTD,32.7,13.7
GIPCL,GUJ IND POW CO. LTD,98.8,71.85
GITANJALI,GITANJALI GEMS LIMITED,93.6,30.1
GKWLIMITED,GKW LIMITED,885,481.7
GLFL,GUJARAT LEASE FINANCING L,2.45,1.25
GLOBALVECT,GLOBAL VEC HELICORP LTD,148.8,62.15
GLOBOFFS,GLOBAL OFFSHORE SERV LTD,419,116
GLOBUSSPR,GLOBUS SPIRITS LTD,115.9,50.6
GMBREW,G M BREWERIES LTD,1170,442.55
GMDCLTD,GUJARAT MINERAL DEV CORP,107.3,52.3
GMRINFRA,GMR INFRASTRUCTURE LTD.,18.55,9.75
GNA,GNA AXLES LIMITED,276.5,218.9
GNFC,GUJ NAR VAL FER & CHEM L,247.5,59.15
GOACARBON,GOA CARBON LIMITED,141.5,62.25
GOCLCORP,GOCL CORPORATION LIMITED,374.2,118
GODFRYPHLP,GODFREY PHILLIPS INDIA LT,1662.8,800.1
GODREJIND,GODREJ INDUSTRIES LTD,467.5,290
GODREJPROP,GODREJ PROPERTIES LTD,385.9,265.65
GOKEX,GOKALDAS EXPORTS LTD.,134,40.6
GOKUL,GOKUL REFOILS & SOLV LTD,25.8,9.55
GOKULAGRO,GOKUL AGRO RESOURCES LTD,23.3,9
GOLDENTOBC,GOLDEN TOBACCO LIMITED,56.7,32.2
GOLDIAM,GOLDIAM INTERNATIONAL LTD,93.7,38
GOLDINFRA,GOLDSTONE INFRATECH LTD,24.8,13.65
GOLDTECH,GOLDSTONE TECHNOLOGIES LT,10.35,3.8
GOODLUCK,GOODLUCK INDIA LIMITED,134.3,75
GPIL,GODAWARI POW & ISP LTD,82,48
GPPL,GUJARAT PIPAVAV PORT LTD,197.8,136.35
GPTINFRA,GPT INFRAPROJECTS LTD,307,201.5
GRANULES,GRANULES INDIA LIMITED,164.4,101.4
GRAPHITE,GRAPHITE INDIA LTD,88.5,64.55
GRAVITA,GRAVITA INDIA LIMITED,37.95,15.1
GREAVESCOT,GREAVES COTTON LTD.,162.6,114.1
GREENFIRE,GREEN FIRE AGRI COMM LTD,3.05,1.2
GREENLAM,GREENLAM INDUSTRIES LTD.,860,397.95
GREENPLY,GREENPLY INDUSTRIES LTD,1050,151.05
GREENPOWER,ORIENT GREEN POWER CO LTD,18.5,9.1
GRINDWELL,GRINDWELL NORTON LIMITED,829.5,315.2
GRPLTD,GRP LIMITED,1680,855
GRUH,GRUH FINANCE LTD.,368.7,226.1
GSCLCEMENT,GUJARAT SIDHEE CEM. LTD.,36.2,20.65
GSFC,GUJ STATE FERT & CHEM LTD,99.4,57.5
GSPL,GUJARAT STATE PETRO LTD,164.4,120.1
GSS,GSS INFOTECH LIMITED,44.3,20.2
GTL,GTL LTD,24.6,10.6
GTLINFRA,GTL INFRA.LTD,7,1.65
GTNIND,GTN INDUSTRIES LIMITED,24.75,8.1
GTNTEX,GTN TEXTILES LIMITED,17.65,7.9
GTOFFSHORE,GOL OFFSHORE LIMITED,59.6,28.05
GUFICBIO,GUFIC BIOSCIENCES LTD.,64.9,32.1
GUJALKALI,GUJARAT ALKALIES & CHEM,347.25,143.3
GUJAPOLLO,GUJ. APOLLO IND. LTD.,149,111
GUJFLUORO,GUJARAT FLUOROCHEMICALS L,684,400
GUJGASLTD,GUJARAT GAS LIMITED,690,473.95
GUJNRECOKE,GUJARAT N R E COKE LTD,4.5,2.45
GUJNREDVR,GUJ NRE DVR 'B' CLASS,3.45,1.7
GULFOILLUB,GULF OIL LUB. IND. LTD.,891.8,447.4
GULFPETRO,GP PETROLEUMS LIMITED,92,42
GULPOLY,GULSHAN POLYOLS LIMITED,487,273.05
GVKPIL,GVK POW. & INFRA LTD.,9.8,4.1
HANUNG,HANUNG TOYS & TEX LTD,12.55,4.55
HARITASEAT,HARITA SEATING SYS. LTD,675.3,258
HARRMALAYA,HARRISON MALAYALAM LTD,93.6,39.6
HATHWAY,HATHWAY CABLE & DATACOM,49.25,23.95
HATSUN,HATSUN AGRO PRODUCT LTD.,507.1,307.05
HAVELLS,HAVELLS INDIA LIMITED,459.4,235.3
HBLPOWER,HBL POWER SYSTEMS LTD.,52.2,28.5
HBSTOCK,HB STOCKHOLDINGS LIMITED,13.4,6.1
HCC,HINDUSTAN CONSTRUCTION CO,41.9,16.55
HCG,HEALTHCARE GLOB. ENT. LTD,239.9,167
HCL-INSYS,HCL INFOSYSTEMS LTD,66.85,30.15
HDIL,HOUSING DEV & INFRA LTD,108.7,55.65
HEG,HEG LTD,203.2,115
HEIDELBERG,HEIDELBERGCEMENT (I) LTD,148.4,59.65
HERCULES,HERCULES HOI. LTD.,197.4,127.1
HERITGFOOD,HERITAGE FOODS LTD,956,405
HESTERBIO,HESTER BIOSCIENCES LTD,825,363
HEXATRADEX,HEXA TRADEX LIMITED,21.9,12.6
HEXAWARE,HEXAWARE TECHNOLOGIES LTD,273.6,177.95
HFCL,HIMACHAL FUT COM LTD,24.65,14.1
HGS,HINDUJA GLOBAL SOLS. LTD.,625,363.1
HIKAL,HIKAL LIMITED,229,111.85
HIL,HIL LIMITED,774.9,421
HILTON,HILTON METAL FORGING LTD,24.5,13.1
HIMATSEIDE,HIMATSINGKA SEIDE LTD,297,144.6
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,2119,746
HINDCOPPER,HINDUSTAN COPPER LTD,73.8,42
HINDDORROL,HINDUSTAN DORR OLIVER LTD,21,9
HINDMOTORS,HINDUSTAN MOTORS LIMITED,10.1,4.55
HINDNATGLS,HIND NATL GLASS & IND LTD,155.75,60.05
HINDOILEXP,HINDUSTAN OIL EXPLORATION,65.4,26.3
HINDUJAFO,HINDUJA FOUNDRIES LIMITED,61.3,26.45
HINDUJAVEN,HINDUJA VENTURES LIMITED,548.9,361.05
HIRECT,HIND RECTIFIER LIMITED,102.95,58
HITECHGEAR,THE HI-TECH GEARS LIMITED,410,221.6
HITECHPLAS,HITECH PLAST LIMITED,224,91.4
HMVL,HINDUSTAN MEDIA VENT LTD,310.2,243
HOCL,HINDUSTAN ORGANIC CHEMICA,25.8,12.1
HONAUT,HONEYWELL AUTOMATION IND,10162.9,7701
HONDAPOWER,HONDA SIEL POWER PROD LTD,1550,1081
HOTELEELA,HOTEL LEELA VENTURES LTD,24.1,16.55
HOTELRUGBY,HOTEL RUGBY LTD,8.7,3.5
HOVS,HOV SERVICES LTD,131.8,68
HPL,HPL ELECTRIC & POWER LTD,198,168.1
HSCL,HIMADRI SPECIALITY CHEM L,46,12.45
HSIL,HSIL LIMITED,369.7,223.6
HTMEDIA,HT MEDIA LIMITED,96.4,73
HUBTOWN,HUBTOWN LIMITED,140,84.15
IBREALEST,INDIABULLS REAL EST. LTD,105.2,42.1
IBVENTURES,INDIABULLS VENTURES LTD,36.5,13.05
IBWSL,INDIABULLS WHOLESALE SER,34,7.8
ICICIPRULI,ICICI PRU LIFE INS CO LTD,333.9,293.05
ICIL,INDO COUNT INDUSTRIES LTD,1254,693.5
ICRA,ICRA LIMITED,4550,3470
ICSA,ICSA (INDIA) LIMITED,4.7,2
IDBI,IDBI BANK LIMITED,95.7,47.25
IDFC,IDFC LIMITED,70.75,34.8
IDFCBANK,IDFC BANK LIMITED,83.4,43.1
IFBAGRO,IFB AGRO INDUSTRIES LTD,518,331.35
IFBIND,IFB INDUSTRIES LTD,552.9,280.1
IFCI,IFCI LTD,30.9,19.4
IFGLREFRAC,IFGL REFRACTORIES LTD,157.75,75.1
IGARASHI,IGARASHI MOTORS INDIA LTD,839.7,375
IGL,INDRAPRASTHA GAS LTD,881.45,453.4
IGPL,I G PETROCHEMICALS LTD,254,75.2
IIFL,IIFL HOLDINGS LIMITED,311.8,163.5
IL&FSENGG,IL&FS ENG AND CONS CO LTD,76.3,39.2
IL&FSTRANS,IL&FS TRANS NET LTD,116,64
IMFA,INDIAN METALS & FERRO,319.6,98.1
IMPAL,IND MOTOR PART & ACC LTD,997.7,650.2
IMPEXFERRO,IMPEX FERRO TECH LIMITED,2.5,1
INDBANK,INDBANK MERCH BANK,14.6,6.05
INDHOTEL,THE INDIAN HOTELS CO. LTD,143,87.05
INDIACEM,THE INDIA CEMENTS LIMITED,164.2,63.9
INDIAGLYCO,INDIA GLYCOLS LTD,141.85,65
INDIANB,INDIAN BANK,242,75.3
INDIANCARD,INDIAN CARD CLOTHING CO.,321.25,176
INDIANHUME,INDIAN HUME PIPE CO. LTD.,879,270
INDLMETER,IMP POWERS LTD,125.8,58.65
INDNIPPON,INDIA NIPPON ELECT  LTD,620,315
INDOCO,INDOCO REMEDIES LTD.,362,232.9
INDORAMA,INDO RAMA SYNTHETICS LTD,42.2,24.4
INDOSOLAR,INDOSOLAR LIMITED,14.25,6.65
INDOTECH,INDO TECH TRANSFORM LTD.,297.8,141.3
INDOTHAI,INDO THAI SEC LTD,29.6,18.3
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP,77.2,46.5
INDSWFTLAB,IND SWIFT LABORATORIES LT,56.2,26.25
INDSWFTLTD,IND-SWIFT LIMITED,8.55,3.85
INDTERRAIN,IND TERRAIN FASHIONS LTD,743.8,30.05
INEOSSTYRO,INEOS STYROLUTION IND LTD,842,475
INFIBEAM,INFIBEAM INCORP. LIMITED,1074,432
INFINITE,INFINITE COMPUTER SOL LTD,267.5,178
INFOMEDIA,INFOMEDIA PRESS LIMITED,8.9,3.45
INGERRAND,INGERSOLL-RAND INDIA LTD,839.95,582.25
INOXLEISUR,INOX LEISURE LIMITED,293.4,170.75
INOXWIND,INOX WIND LIMITED,411.4,163
INSECTICID,INSECTICIDES (I) LTD,540.95,295
INTELLECT,INTELLECT DESIGN ARENA,302.45,154.6
INVENTURE,INVENTURE GRO & SEC LTD,27.65,10.5
IOB,INDIAN OVERSEAS BANK,37.05,20.85
IOLCP,IOL CHEM AND PHARMA LTD,156.8,55.65
IPAPPM,INTERNATIONALPAPERAPPMLTD,349,216.15
IPCALAB,IPCA LABORATORIES LTD,808,404
IRB,IRB INFRA DEV LTD.,272,195.3
ISFT,INTRASOFT TECH. LTD,575,250
ISMTLTD,ISMT LIMITED,12.85,6.2
ITDCEM,ITD CEMENTATION INDIA LTD,163.95,83.1
ITI,ITI LTD,34.9,22.6
IVC,IL&FS INVESTMENT MANAGERS,21.5,12.95
IVP,IVP LTD,157.35,70
IVRCLINFRA,IVRCL LIMITED,12,3.7
IVZINGOLD,INVESCO INDIA GOLD ETF,2974,2015.35
IZMO,IZMO LIMITED,87,35.1
J&KBANK,J & K BANK LTD.,92.2,56.2
JAGRAN,JAGRAN PRAKASHAN LIMITED,213.05,137.15
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS,62.9,30.85
JAIBALAJI,JAI BALAJI INDUSTRIES LTD,15.45,4.8
JAICORPLTD,JAI CORP LIMITED,94.4,48.55
JAIHINDPRO,JAIHIND PROJECTS LTD,15.95,5.4
JAMNAAUTO,JAMNA AUTO IND LTD,253.8,110.25
JAYAGROGN,JAYANT AGRO ORGANICS LTD,454.4,101
JAYBARMARU,JAY BHARAT MARUTI LTD,298.6,112.5
JAYNECOIND,JAYASWAL NECO INDUSTR LTD,11.3,5.8
JAYSREETEA,JAYSHREE TEA & INDUSTRIES,121.35,62.4
JBCHEPHARM,J B CHEMICALS AND PHARMA,403.9,228
JBFIND,JBF INDUSTRIES LTD,260.75,150
JBMA,JBM AUTO LIMITED,288.9,103.1
JCHAC,JOHNSON CONTROLS HITACHI,1678,930.5
JENSONICOL,JENSON & NICHOLSON (IND),14.15,5.9
JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,796.4,383.6
JHS,JHS SVEND. LAB. LTD,42,21.75
JIKIND,JIK INDUSTRIES LTD,1.1,0.55
JINDALPHOT,JINDAL PHOTO LIMITED,217.15,75
JINDALPOLY,JINDAL POLY FILMS LIMITED,611.9,339.6
JINDALSAW,JINDAL SAW LIMITED,72.5,35.65
JINDALSTEL,JINDAL STEEL & POWER LTD,98.15,48.1
JINDCOT,JINDAL COTEX LTD,24.45,5.6
JINDRILL,JINDAL DRILLING IND. LTD,216.4,105
JINDWORLD,JINDAL WORLDWIDE LTD,200,113
JISLDVREQS,JAIN DVR EQUITY SHARES,62.4,35.45
JISLJALEQS,JAIN IRRIGATION SYSTEMS,105.25,46.8
JKCEMENT,JK CEMENT LIMITED,1008.5,425
JKIL,JKUMAR INFR.LTD.,794.85,105.4
JKLAKSHMI,JK LAKSHMI CEMENT LTD,513,253.95
JKPAPER,JK PAPER LIMITED,82.9,40.15
JKTYRE,JK TYRE & INDUSTRIES LTD,161.4,73.8
JMA,JULLUNDUR MOT AGENCY LTD,219.6,156
JMCPROJECT,JMC PROJECTS (I) LTD.,289,174.3
JMFINANCIL,JM FINANCIAL LIMITED,83.15,33.25
JMTAUTOLTD,JMT AUTO LIMITED,106.8,23.7
JOCIL,JOCIL LIMITED,248,136
JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD,14.65,5.3
JPINFRATEC,JAYPEE INFRATECH LTD,15.15,5.3
JPOLYINVST,JIND POL INV & FIN CO LTD,123,65
JPPOWER,JAIPRAKASH POWER VEN. LTD,7.9,3.65
JSL,JINDAL STAINLESS LIMITED,61.4,14.2
JSLHISAR,JINDAL STAINLESS (H) LTD,105.75,24.7
JSWENERGY,JSW ENERGY LIMITED,96.1,59
JSWHL,JSW HOLDINGS LIMITED,1396,929.8
JUBILANT,JUBILANT LIFE SCIENCE LTD,701,275.65
JUBLFOOD,JUBILANT FOODWORKS LTD,1572.95,887.35
JUBLINDS,JUBILANT INDUSTRIES LTD,290.5,122.95
JUSTDIAL,JUSTDIAL LTD.,1063,375.7
JYOTHYLAB,JYOTHY LABS LTD,370.45,252.1
JYOTISTRUC,JYOTI STRUCTURES LTD,19.7,8.25
KABRAEXTRU,KABRA EXTRUSION TECHNIK L,144.75,71.2
KAJARIACER,KAJARIA CERAMICS LTD,1427,610
KAKATCEM,KAKATIYA CEM SUGAR &IND L,599,100.1
KALINDEE,KALINDEE RAIL NR. (E) LTD,169.95,94.2
KALPATPOWR,KALPATARU POWER TRANS. LT,286,160
KAMATHOTEL,KAMAT HOTELS (I) LTD,75.5,28.1
KAMDHENU,KAMDHENU LIMITED,82,35.75
KANANIIND,KANANI INDUSTRIES LTD,31.9,6.15
KANORICHEM,KANORIA CHEMICALS & INDUS,92.9,48.1
KANSAINER,KANSAI NEROLAC PAINTS LTD,404.75,236
KARMAENG,KARMA ENERGY LIMITED,28.9,15
KARURVYSYA,KARUR VYSYA BANK LTD,542.6,394
KAUSHALYA,KAUSHALYA INFRA DEV LTD.,7.8,3.2
KAVVERITEL,KAVVERI TEL. LTD.,25.5,11.2
KAYA,KAYA LIMITED,1285,688
KCP,KCP LTD,115.8,58.1
KCPSUGIND,KCP SUGAR IND CORP LTD.,46,17.6
KDDL,KDDL LIMITED,297,162
KEC,KEC INTL. LIMITED,164.8,97.5
KECL,KIRLOSKAR ELECTRIC CO LTD,71.8,22.25
KEI,KEI INDUSTRIES LTD.,129,85.3
KELLTONTEC,KELLTON TECH SOL LTD,246.5,79
KESARENT,KESAR ENTERPRISES LTD.,77,19.3
KESORAMIND,KESORAM INDUSTRIES LTD,201.25,72
KGL,KARUTURI GLOBAL LIMITED,2.6,1.1
KHAITANELE,KHAITAN ELECTRICALS LTD,57,30.1
KHANDSE,KHANDWALA SECURITIES LTD,20.45,15
KICL,KALYANI INVEST CO LTD,1942.7,1015
KILITCH,KILITCH DRUGS INDIA LTD,61.2,30.65
KIRIINDUS,KIRI INDUSTRIES LIMITED,405,71.4
KIRLOSBROS,KIRLOSKAR BROTHERS LTD,204.5,112.5
KIRLOSENG,KIRLOSKAR OIL ENG LTD,369,200
KIRLOSIND,KIRLOSKAR INDUSTRIES LTD,1045,520.2
KITEX,KITEX GARMENTS LTD,864,340
KKCL,KEWAL KIRAN CLOTHING LTD,2250,1609.95
KMSUGAR,K M SUGAR MILLS LTD,25.5,2.9
KNRCON,KNR CONSTRU LTD.,820,410
KOHINOOR,KOHINOOR FOODS LIMITED,84.6,35.4
KOKUYOCMLN,KOKUYO CAMLIN LIMITED,120.95,65
KOLTEPATIL,KOLTE PATIL DEV. LTD.,182,95.5
KOPRAN,KOPRAN LTD,83,40.3
KOTARISUG,KOTHARI SUG & CHEM LTD.,22.3,6.4
KOTHARIPET,KOTHARI PETROCHEM LTD,30.8,16.2
KOTHARIPRO,KOTHARI PRODUCTS LTD,399,134.6
KPIT,KPIT TECHNOLOGIES LTD,196.85,108
KPRMILL,KPR MILL LTD.,1271.55,617
KRBL,KRBL LIMITED,305.9,169.5
