SYMBOL,SECURITY,HI_52_WK,LO_52_WK
KRIDHANINF,KRIDHAN INFRA LIMITED,125.5,57
KSBPUMPS,KSB PUMPS LTD,774,503
KSCL,KAVERI SEED CO. LTD.,543.6,300
KSERASERA,KSS LIMITED,0.4,0.15
KSK,KSK ENERGY VENTURES LTD,55.3,26.05
KSL,KALYANI STEELS LIMITED,413,120.5
KTIL,KESAR TER & INFRA LTD,717,221.95
KTKBANK,KARNATAKA BANK LIMITED,162.25,84.8
KWALITY,KWALITY LIMITED,159.4,78.5
L&TFH,L&T FINANCE HOLDINGS LTD,103.15,48.25
LAKPRE,LAKSHMI PRE SCRE LTD,64,28.65
LAKSHMIEFL,LAKSHMI ENG. & FOODS LTD,63.9,11
LAKSHVILAS,LAKSHMI VILAS BANK LTD,165.8,75.05
LALPATHLAB,DR. LAL PATH LABS LTD.,1276,696.5
LAMBODHARA,LAMBODHARA TEXTILES LTD.,354,87.6
LAOPALA,LA OPALA RG LIMITED,670,472.55
LAXMIMACH,LAKSHMI MACHINES LTD,4702.8,2934.5
LCCINFOTEC,LCC INFOTECH LTD,0.55,0.15
LGBBROSLTD,LG BALAKRISHNAN & BROS,652.2,392.2
LGBFORGE,LGB FORGE LIMITED,9.4,4.6
LIBERTSHOE,LIBERTY SHOES LTD,224,125
LICNFNHGP,LICNAMC - LICNFNHGP,108.5,70.97
LINCOLN,LINCOLN PHARMA LTD,305.45,127.3
LINCPEN,LINC PEN & PLASTICS LTD,303.2,154
LINDEINDIA,LINDE INDIA LIMITED,407.9,238.2
LITL,LANCO INFRATECH LTD.,7.8,3.85
LLOYDELENG,LLOYD ELECTRIC & ENGG LTD,336.6,175.1
LML,LML LTD,14.1,6.35
LOKESHMACH,LOKESH MACHINES LTD,98.5,60
LOTUSEYE,LOTUS EYE HOSPITAL LTD.,27.6,13.15
LOVABLE,LOVABLE LINGERIE LTD,293.35,208.05
LPDC,LANDMARK PR.DEV.CO.LTD,5.65,2.6
LSIL,LLOYDS STEELS IND. LTD.,2.6,0.95
LTI,L&T INFOTECH LIMITED,715,604
LTTS,L&T TECHNOLOGY SER. LTD.,931.45,823.75
LUMAXIND,LUMAX INDUSTRIES LTD,887.9,352.6
LUMAXTECH,LUMAX AUTO TECH LTD,525,265.2
LUXIND,LUX INDUSTRIES LIMITED,4148,576
LYCOS,LYCOS INTERNET LIMITED,37,7.25
LYKALABS,LYKA LABS LTD,142.9,59.2
LYPSAGEMS,LYPSA GEMS & JEWEL LTD,154.5,52.55
M&MFIN,M&M FIN. SERVICES LTD,404.9,173.1
MAANALU,MAAN ALUMINIUM LIMITED,79,25.65
MADHAV,MADHAV MARBLE & GRANITE,85.9,36
MADHUCON,MADHUCON PROJECTS LTD.,86.35,39.5
MADRASFERT,MADRAS FERTILISERS LTD,19.4,11.05
MAGMA,MAGMA FINCORP LIMITED,125.65,63.3
MAGNUM,MAGNUM VENTURES LTD.,6.05,2.3
MAHABANK,BANK OF MAHARASHTRA,37.4,26.05
MAHASTEEL,MAHAMAYA STEEL INDS LTD,504.2,128
MAHINDCIE,MAHINDRA CIE AUTO LTD,279.85,156.3
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,516,414.9
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD,2170,972
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD,262.7,130.55
MAITHANALL,MAITHAN ALLOYS LTD,434.9,78
MAJESCO,MAJESCO LIMITED,789,323.05
MALUPAPER,MALU PAPER MILLS LIMITED,47.2,9.5
MANAKALUCO,MANAK ALUMINIUM CO. LTD.,7.05,2.5
MANAKCOAT,MAN COAT METAL & IND LTD,10.4,2.75
MANAKINDST,MANAKSIA INDUSTRIES LTD,22.7,2.65
MANAKSIA,MANAKSIA LTD.,62.4,35.5
MANAKSTEEL,MANAKSIA STEELS LTD,14.4,5.1
MANALIPETC,MANALI PETROCHEMICALS LT,47.6,20
MANAPPURAM,MANAPPURAM FINANCE LTD,105,22.15
MANDHANA,MANDHANA INDUS. LTD,344.95,30.05
MANGALAM,MANGALAM DRUG & CHEM LTD,442.4,134
MANGCHEFER,MANG.CHEM.FERT.LTD,66.65,36.4
MANGLMCEM,MANGALAM CEMENT LTD,376,147.5
MANGTIMBER,MANGALAM TIMBER PRODUCTS,39.35,10.15
MANINDS,MAN INDUSTRIES (I) LTD.,103,45.05
MANINFRA,MAN INFRA LTD,53.45,28.85
MANPASAND,MANPASAND BEVERAGES LTD.,777,370
MANUGRAPH,MANUGRAPH INDIA LIMITED,73,30.05
MARALOVER,MARAL OVERSEAS LTD,40.4,21
MARATHON,MARATHON NXTGEN REALT LTD,278,216.05
MARKSANS,MARKSANS PHARMA LIMITED,113.9,33.5
MASTEK,MASTEK LTD,211.55,104.5
MAWANASUG,MAWANA SUGARS LIMITED,71.8,10.4
MAXINDIA,MAX INDIA LIMITED,180,119.05
MAXVIL,MAX VENTURES AND INDS LTD,87.05,42.75
MAXWELL,MAXWELL INDUSTRIES LTD,74.4,29.05
MAYURUNIQ,MAYUR UNIQUOTERS LTD,480,383.9
MBECL,MCNALLY BH. ENG. CO.LTD,113.4,56
MBLINFRA,MBL INFRASTRUCTURES LTD,238,62.1
MCDHOLDING,MCDOWELL HOLDINGS LTD.,58.65,21.5
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,219.7,129.05
MCX,MULTI COMMODITY EXCHANGE,1420,725
MEGASOFT,MEGASOFT LTD,26,4.4
MEGH,MEGHMANI ORGANICS LTD.,52.35,18.25
MELSTAR,MELSTAR INFORMATION TECH,8.25,3.6
MENONBE,MENON BEARINGS LIMITED,110,48.55
MEP,MEP INFRA. DEVELOPERS LTD,59.7,34.2
MERCATOR,MERCATOR LIMITED,54.6,16
MERCK,MERCK LIMITED,818,620
METALFORGE,METALYST FORGINGS LIMITED,102.9,40.95
METKORE,METKORE ALLOYS & IND LTD,4.85,1.7
MFSL,MAX FINANCIAL SERV LTD,628,302.8
MGL,MAHANAGAR GAS LTD.,803.25,492.65
MHRIL,MAHINDRA HOLIDAYS LTD,514,325
MIC,MIC ELECTRONICS LIMITED,28.65,12
MICROSEC,MICROSEC FIN SERV LTD,100.5,42.65
MINDACORP,MINDA CORPORATION LTD,143.3,74.15
MINDAIND,MINDA INDUSTRIES LTD.,1647,267
MINDTECK,MINDTECK (INDIA) LIMITED,106.8,71
MINDTREE,MINDTREE LIMITED,1609,463.75
MIRCELECTR,MIRC ELECTRONICS LTD,22.55,8
MIRZAINT,MIRZA INTERNATIONAL LIMIT,145,83.5
MMFL,MM FORGINGS LTD,565,369.1
MMTC,MMTC LIMITED,52.3,29.85
MOHITIND,MOHIT INDUSTRIES LTD,88.4,36.5
MOIL,MOIL LIMITED,301,179.5
MOLDTECH,MOLD-TEK TECHNOLOGIES LTD,69.25,44.45
MOLDTKPAC,MOLD-TEK PACKAGING LTD,333.5,104.2
MONNETISPA,MONNET ISPAT & ENERGY LTD,39.45,19.25
MONSANTO,MONSANTO INDIA LIMITED,2746.7,1515.65
MONTECARLO,MONTE CARLO FASHIONS LTD.,572,337.05
MORARJEE,MORARJEE TEXTILES LIMITED,70.1,30.15
MOREPENLAB,MOREPEN LAB. LTD,41.75,15.7
MOSERBAER,MOSER-BAER (I) LTD,14.55,7.25
MOTILALOFS,MOTILAL OSWAL FIN LTD,631.8,255
MPHASIS,MPHASIS LIMITED,624,404.1
MPSLTD,MPS LIMITED,910,605.05
MRF,MRF LTD,54650,30101
MRO-TEK,MRO-TEK LIMITED,88.4,24.05
MRPL,MRPL,97.45,50.7
MSPL,MSP STEEL & POWER LTD.,14.95,7.7
MTEDUCARE,MT EDUCARE LTD,200,121
MTNL,MAHANAGAR TELEPHONE NIGAM,24.45,15.3
MUKANDENGG,MUKAND ENGINEERS LIMITED,40.9,21.65
MUKANDLTD,MUKAND LTD.,71.5,27.4
MUKTAARTS,MUKTA ARTS LIMITED,132.55,35.15
MUNJALAU,MUNJAL AUTO IND. LTD.,113.8,61.8
MUNJALSHOW,MUNJAL SHOWA LTD,246.9,150
MURUDCERA,MURUDESHWAR CERAMICS LTD,40.8,17.95
MUTHOOTCAP,MUTHOOT CAP SERV LTD,245,123.6
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,406.8,167.85
MVL,MVL LIMITED,0.55,0.25
MYSOREBANK,STATE BANK OF MYSORE,747,349
NAGAROIL,NAGARJUNA OIL REFINERY,9.15,3.55
NAGREEKCAP,NAGREEKA CAP & INFR.LTD,15.9,10
NAGREEKEXP,NAGREEKA EXPORTS LTD.,44.1,21.4
NAHARCAP,NAHAR CAP & FIN.,95.5,43.5
NAHARINDUS,NAHAR INDS ENT LTD,131.3,41.15
NAHARPOLY,NAHAR POLY FILMS LIMITED,68.45,26
NAHARSPING,NAHAR SPINNING MILLS LTD.,143.9,79.1
NAKODA,NAKODA LIMITED,0.55,0.15
NATCOPHARM,NATCO PHARMA LTD.,2650,390
NATHBIOGEN,NATH BIO-GENES (I) LTD,184.5,59
NATIONALUM,NATIONAL ALUMINIUM CO LTD,53.4,29.3
NAUKRI,INFO EDGE (I) LTD,1012.8,688.1
NAVINFLUOR,NAVIN FLUORINE INT. LTD,2869.85,1266.05
NAVKARCORP,NAVKAR CORPORATION LTD.,225,148.8
NAVNETEDUL,NAVNEET EDUCATION LTD,109.4,77
NBCC,NBCC (INDIA) LIMITED,1036.35,176
NBVENTURES,NAVA BHARAT VENTURES LIMI,269.6,106.5
NCC,NCC LIMITED,92.9,55.9
NCLIND,NCL INDUSTRIES LIMITED,184.5,80
NDGL,NAGA DHUNSERI GROUP LTD,811,270
NDL,NANDAN DENIM LIMITED,165.9,97
NDTV,NDTV LTD,124,62.2
NECCLTD,NORTH EAST CARRY CORP LTD,60.8,30.55
NECLIFE,NECTAR LIFESCIENCES LTD.,60.9,32
NELCAST,NELCAST LIMITED,76.6,50.65
NELCO,NELCO LTD,128.4,64.15
NESCO,NESCO LTD.,1980,1440
NESTLEIND,NESTLE INDIA LIMITED,7369,4981
NET4,NET 4 INDIA LIMITED,2.7,1.3
NETWORK18,NETWORK18 MEDIA & INV LTD,64,38.3
NEULANDLAB,NEULAND LAB LTD.,1080,491
NEXTMEDIA,NEXT MEDIAWORKS LIMITED,28,12.2
NFL,NATIONAL FERT. LTD,39.6,23.7
NH,NARAYANA HRUDAYALAYA LTD.,374,268.8
NIBL,NRB INDUS. BEARINGS LTD.,79.45,31.2
NIITLTD,NIIT LIMITED,107.95,67.4
NIITTECH,NIIT TECHNOLOGIES LTD,631,386.75
NILAINFRA,NILA INFRASTRUCTURES LTD,19.8,9.3
NILKAMAL,NILKAMAL LIMITED,1841.9,885
NIPPOBATRY,INDO-NATIONAL LIMITED,1300,725.5
NITCO,NITCO LIMITED,90.15,28.45
NITESHEST,NITESH ESTATES LTD,17.75,11
NITINFIRE,NITIN FIRE PROT IND. LTD.,51.7,22.9
NITINSPIN,NITIN SPINNERS LIMITED,86.5,48
NKIND,NK INDUSTRIES LTD,47,28
NLCINDIA,NLC INDIA LIMITED,87.85,60.05
NOCIL,NOCIL LIMITED,82.45,37.5
NOESISIND,NOESIS INDUSTRIES LIMITED,0.6,0.2
NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,27.95,21.5
NORBTEAEXP,NORBEN TEA & EXPORTS LTD,9.75,5.7
NRBBEARING,NRB BEARING LIMITED,161.95,103.75
NSIL,NALWA SONS INVESTMENT LTD,859.7,551
NUCLEUS,NUCLEUS SOFTWARE EXPORTS,290.9,144.55
NUTEK,NU TEK INDIA LTD,1,0.5
OBEROIRLTY,OBEROI REALTY LIMITED,348.9,212
OCCL,ORIENTAL CARBN & CHEM LTD,763.9,374.9
OCL,OCL INDIA LTD,929.9,386
OILCOUNTUB,OIL COUNTRY TUBULAR LTD,37.8,23
OISL,OCL IRON AND STEEL LTD,16.3,7.35
OMAXAUTO,OMAX AUTOS LTD,103.45,48.55
OMAXE,OMAXE LIMITED,176.75,132.75
OMKARCHEM,OMKAR SPL CHEM LTD,249.9,137.3
OMMETALS,OM METALS INFRAPRO LTD,63.8,36.5
OMNITECH,OMNITECH INFOSOLU LTD.,4.2,2.55
ONELIFECAP,ONELIFE CAP ADVISORS LTD,83.55,22
ONMOBILE,ONMOBILE GLOBAL LTD.,140.8,90
ONWARDTEC,ONWARD TECHNOLOGIES LTD,120.9,55.25
OPTOCIRCUI,OPTO CIRCUITS (I) LTD.,18.4,8.05
ORBITCORP,ORBIT CORP. LTD.,9.5,5.1
ORBTEXP,ORBIT EXPORTS LIMITED,420,205.3
ORCHIDPHAR,ORCHID PHARMA LIMITED,67.4,32.3
ORICONENT,ORICON ENTERPRISES LTD,73.75,44.9
ORIENTABRA,ORIENT ABRASIVE LTD,58.8,27.6
ORIENTALTL,ORIENTAL TRIMEX LTD,17.05,2.3
ORIENTBANK,ORIENTAL BANK OF COMMERCE,157.5,75.15
ORIENTBELL,ORIENT BELL LIMITED,218,114.05
ORIENTCEM,ORIENT CEMENT LTD.,232,126.95
ORIENTHOT,ORIENT HOTELS LTD,31.4,19.4
ORIENTPPR,ORIENT PAPER AND INDS LTD,92.5,23.35
ORIENTREF,ORIENT REFRACTORIES LTD,117.9,70.5
ORISSAMINE,ORISSA MIN DEV CO LTD,2435,1378.8
ORTEL,ORTEL COMMUNICATIONS LTD,226,122.4
ORTINLABSS,ORTIN LABORATORIES LTD,42.2,13.8
OUDHSUG,THE OUDH SUGAR MILLS LTD,161,27.1
PAEL,PAE LIMITED,19.6,9.7
PAGEIND,PAGE INDUSTRIES LTD,16641.75,9752.35
PALREDTEC,PALRED TECHNOLOGIES LTD,133.55,58
PANACEABIO,PANACEA BIOTEC LTD,172.8,83.7
PANAMAPET,PANAMA PETROCHEM LTD,87.2,52.1
PANORAMUNI,PANORAMIC UNIVERSAL LTD,17.55,9.2
PAPERPROD,HUHTAMAKI PPL LIMITED,326.45,176
PARABDRUGS,PARABOLIC DRUGS LTD,11.05,3.45
PARACABLES,PARAMOUNT COMM LTD,5.3,1.9
PARAGMILK,PARAG MILK FOODS LTD.,357,201.75
PARRYSUGAR,PARRYS SUGAR INDUSTRIES L,72.9,16.55
PARSVNATH,PARSVNATH DEVELOPER LTD,30.15,12.9
PATELENG,PATEL ENGINEERING LTD.,120.7,43.3
PATINTLOG,PATEL INT. LOG. LTD,143.5,76
PATSPINLTD,PATSPIN INDIA LTD,14,6.65
PBAINFRA,PBA INFRASTRUCTURE LTD.,29.65,11.4
PCJEWELLER,PC JEWELLER LTD,531,295.8
PDMJEPAPER,PUDUMJEE PAPER PRO. LTD,22.55,12
PDPL,PARENTERAL DRUGS LTD,82.65,26.15
PDSMFL,PDS MULTINATIONAL FAS LTD,239.95,139.4
PDUMJEIND,PUDUMJEE INDUSTRIES LTD,25.4,8.6
PDUMJEPULP,PUDUMJEE PULP & PAPER MIL,55.95,13.45
PEARLPOLY,PEARL POLYMERS LTD,27.4,5.15
PENIND,PENNAR INDUSTRIES LTD,61,39.25
PENINLAND,PENINSULA LAND LIMITED,26.8,16
PENPEBS,PENNAR ENG BLDG SYS LTD,204.35,121.55
PERSISTENT,PERSISTENT SYSTEMS LTD,798,575
PETRONENGG,PETRON ENGG CONSTRUCT LTD,274.65,145
PETRONET,PETRONET LNG LIMITED,410.9,181.05
PFIZER,PFIZER LTD,2645,1610.1
PFOCUS,PRIME FOCUS LIMITED,81,40.2
PFS,PTC INDIA FIN SERV LTD,52.25,29.7
PGEL,PG ELECTROPLAST LTD,199.7,75.05
PGIL,PEARL GLOBAL IND LIMITED,257.25,152.05
PHILIPCARB,PHILIPS CARBON BLACK LTD,281.8,80
PHOENIXLL,PHOENIX LAMPS LIMITED,172.85,88.05
PHOENIXLTD,THE PHOENIX MILLS LTD,448.95,239.05
PIIND,PI INDUSTRIES LTD,878.95,497.55
PILITA,PIL ITALICA LIFESTYLE LTD,39.2,8
PINCON,PINCON SPIRIT LTD,164,60.05
PIONDIST,PIONEER DIST LTD,385,82.4
PIONEEREMB,PIONEER EMBROIDERIES LTD,97.9,33.05
PIRPHYTO,PIRAMAL PHYTOCARE LIMITED,140.6,47.1
PITTILAM,PITTI LAMINATIONS LTD,66.9,26.25
PKTEA,THE P K TEA PROD CO LTD,193.55,104.55
PLASTIBLEN,PLASTIBLENDS INDIA LTD,523.25,322.3
PNBGILTS,PNB GILTS LIMITED,30.85,21.6
PNC,PRITISH NANDY COMMUNICATI,30.6,12.5
PNCINFRA,PNC INFRATECH LTD.,612.65,90.45
PNEUMATIC,PNEUMATIC HOLDINGS LTD,1070,400
POCHIRAJU,POCHIRAJU IND LTD,19.35,7.05
POKARNA,POKARNA LIMITED,979.95,702.25
POLARIS,POLARIS CONSULTG & SER LT,217.5,157.55
POLYMED,POLY MEDICURE LIMITED,445,234
POLYPLEX,POLYPLEX CORPORATION LTD,375.4,197.4
PONNIERODE,PONNIE SUGARS (ERODE) LTD,357.05,130
POWERMECH,POWER MECH PROJECTS LTD.,702.2,452
PPAP,PPAP AUTOMOTIVE LIMITED,201.45,109.3
PRABHAT,PRABHAT DAIRY LIMITED,169,71
PRADIP,PRADIP OVERSEAS LTD,2.85,1.2
PRAENG,PRAJAY ENG. SYN. LTD.,12.1,5.55
PRAJIND,PRAJ INDUSTRIES LTD,105.3,70.2
PRAKASH,PRAKASH INDUSTRIES LTD,63.5,22.8
PRAKASHCON,PRAKASH CONSTROWELL LTD,21.6,1.8
PRAKASHSTL,PRAKASH STEELAGE LTD,159,1.2
PRATIBHA,PRATIBHA INDS. LTD.,51,15.55
PRECAM,PRECISION CAMSHAFTS LTD.,187.4,126.9
PRECOT,PRECOT MERIDIAN LIMITED,73.95,33.3
PRECWIRE,PRECISION WIRES INDIA LTD,187.8,69
PREMEXPLN,PREMIER EXPLOSIVES LTD,394.5,323.75
PREMIER,PREMIER LIMITED,60.9,27.25
PREMIERPOL,PREMIER POLYFILM LTD,32.2,13.8
PRESSMN,PRESSMAN ADVERTISING LTD,74.5,32
PRESTIGE,PRESTIGE ESTATE LTD,224.85,129.55
PRICOL,PRICOL LIMITED,131.95,30.05
PRIMESECU,PRIME SECURITIES LIMITED,49.1,3.05
PRISMCEM,PRISM CEMENTS LTD,118.6,55
PROVOGE,PROVOGUE (INDIA) LIMITED,9.8,2.9
PROZONINTU,PROZONE INTU PROPRTIS LTD,39.6,23.85
PSB,PUNJAB & SIND BANK,58.8,31.65
PSL,PSL LIMITED,13.3,5.7
PTC,PTC INDIA LIMITED,87.55,56.05
PTL,PTL ENTERPRISES LTD,150,67.3
PUNJABCHEM,PUNJAB CHEM & CROP PROT L,236.5,109
PUNJLLOYD,PUNJ LLOYD LIMITED,31.65,17.7
PURVA,PURAVANKARA PROJ. LTD.,66.2,41.55
PVP,PVP VENTURES LIMITED,7.2,4.05
PVR,PVR LIMITED,1334.8,645.25
QUESS,QUESS CORP LIMITED,672,452.5
QUICKHEAL,QUICK HEAL TECH LTD,330,181
RADAAN,RADAAN MEDIAWORKS (I) LTD,3,0.75
RADICO,RADICO KHAITAN LTD,150.4,83.55
RAIN,RAIN INDUSTRIES LIMITED,56.5,25.5
RAIREKMOH,R R MOHOTA SPG & WVG MILL,309.9,48.65
RAJESHEXPO,RAJESH EXPORTS LTD,744.8,421.05
RAJOIL,RAJ OIL MILLS LTD,2.4,1
RAJRAYON,RAJ RAYON INDUSTRIES LTD,0.65,0.25
RAJSREESUG,RAJSHREE SUGAR & CHEMICAL,89.45,19.3
RAJTV,RAJ TV NETWORK LTD,86.5,43.4
RALLIS,RALLIS INDIA LTD,246,142
RAMANEWS,SHREE RAMA NEWSPRINT LTD,34.75,11.75
RAMASTEEL,RAMA STEEL TUBES LIMITED,943.95,84
RAMCOCEM,THE RAMCO CEMENTS LIMITED,685,335.2
RAMCOIND,RAMCO INDUSTRIES LIMITED,288.3,79.2
RAMCOSYS,RAMCO SYSTEMS LTD.,849,435.5
RAMKY,RAMKY INFRA LTD,95.9,27.15
RANASUG,RANA SUGARS LTD.,17.55,3
RANEENGINE,RANE ENG VALVE LTD,809.4,442
RANEHOLDIN,RANE HOLDINGS LIMITED,985,482.05
RASOYPR,RASOYA PROTEINS LTD,0.35,0.15
RATNAMANI,RATNAMANI MET & TUB LTD.,675.5,396.4
RAYMOND,RAYMOND LTD,647.85,350
RBL,RANE BRAKE LINING LTD,1399,87.35
RBLBANK,RBL BANK LIMITED,335,274.2
RCF,RASHTRIYA CHEMICALS & FER,53.85,35.15
RCOM,RELIANCE COMMUNICATIONS L,91.75,42.1
RDEL,RELIANCE DEF AND ENGI LTD,113.95,52.65
RECLTD,RURAL ELEC CORP. LTD.,270.8,115.05
REDINGTON,REDINGTON (INDIA) LTD.,129.55,95.05
REFEX,REFEX INDUSTRIES LIMITED,25.25,6.3
REIAGROLTD,REI AGRO LIMITED,0.95,0.3
REISIXTEN,REI SIX TEN RETAIL LTD,0.65,0.25
RELAXO,RELAXO FOOT LTD.,548,357.65
RELCAPITAL,RELIANCE CAPITAL LTD,595.8,303.25
RELIGARE,RELIGARE ENTER. LTD.,326.7,224.5
RELINFRA,RELIANCE INFRASTRUCTU LTD,635.7,372.35
REMSONSIND,REMSONS INDUSTRIES LTD,64,32.1
RENUKA,SHREE RENUKA SUGARS LTD,19.15,9.85
REPCOHOME,REPCO HOME FINANCE LTD,899.95,551
REPRO,REPRO INDIA LIMITED,559,320.1
RESPONIND,RESPONSIVE INDUSTRIES LTD,119.8,67.1
REVATHI,REVATHI EQUIPMENT LTD,889.85,512
RICOAUTO,RICO AUTO INDUSTRIES LTD,73.45,27.8
RIIL,RELIANCE INDUSTRIAL INFRA,538.8,315.6
RJL,RENAISSANCE JEWEL. LTD.,184.25,73.2
RKDL,RAVI KUMAR DIST. LTD.,17,5
RKFORGE,RAMKRISHNA FORGINGS LTD,650,266.9
RMCL,RADHA MADHAV CO. LTD.,30.4,6.6
RML,RANE (MADRAS) LIMITED,567.95,266
ROHITFERRO,ROHIT FERRO-TECH LIMITED,8.45,3.4
ROHLTD,ROYAL ORCHID HOTELS LTD,115.4,46.05
ROLTA,ROLTA INDIA LTD,111.9,60.3
ROSSELLIND,ROSSELL INDIA LIMITED,173.65,80.1
RPGLIFE,RPG LIFE SCIENCES LTD,534.4,177.6
RPOWER,RELIANCE POWER LTD.,61.25,40.35
RPPINFRA,R.P.P INFRA PROJECTS LTD,215.95,101
RSSOFTWARE,R. S. SOFTWARE (INDIA) LI,146.85,57.5
RSWM,RSWM LIMITED,485,251.5
RSYSTEMS,R SYS INTERNATIONAL LTD,84.95,49.75
RTNINFRA,RATTANINDIA INFRA LIMITED,4.35,2.25
RTNPOWER,RATTANINDIA POWER LIMITED,13.5,7.2
RUBYMILLS,THE RUBY MILLS LTD,518.4,193
RUCHIRA,RUCHIRA PAPERS LIMITED,119.9,43.8
RUCHISOYA,RUCHI SOYA INDUSTRIES LTD,33.55,17.8
RUPA,RUPA & COMPANY LTD,404.9,229.2
RUSHIL,RUSHIL DECOR LIMITED,665.5,174.6
SABEVENTS,SAB EVENTS & GOVERNANCE,101,44.2
SABTN,SRI ADHIKARI BROS.,434,221.1
SADBHAV,SADBHAV ENGINEERING LTD,370,197.15
SADBHIN,SADBHAV INFRA PROJ LTD.,121,71.05
SAGCEM,SAGAR CEMENTS LIMITED,848.5,353.5
SAKHTISUG,SAKTHI SUGARS LTD,55.9,20
SAKSOFT,SAKSOFT LIMITED,474.4,130
SAKUMA,SAKUMA EXPORTS LIMITED,103.8,41.25
SALONA,SALONA COTSPIN LTD.,44,25.1
SALORAINTL,SALORA INTERNATIONAL LTD,66.7,38
